,text,label
0,Если я тебе понадоблюсь мой кик Georgeandrew ga,1
1,  Я не прошу ни денег ни внимания а только дать мне жить самой Как побороть нежелание жить,1
2,Просто Задолбало всё и вседетей вот жалко,1
3,Девушку которую я люблю спросили  где наркотики и алкоголь  ga,1
4,Раньше я жил с Бабушкой в Ташкенте до  класса никогда не забуду эти тихие и спокойные дникогда никто на тебя не орет,1
5,Не знаю зачем пишу сюда наверное чтобы услышать какие то слова поддержкиМожет мне станет легче от этого,1
6,Прошу помогите мне пожалуйсто,1
7,Я целыми днями сижу дома У меня нет друзей Почти ни с кем не разговариваю кроме родителей ,1
8,Здравствуйте Как я понял это сайт на котором люди желающие покончить с собой деляться со своими историями и видимо ждут помощь ,1
9,Здравствуйтемне  лет Меня часто посещает мысль о суициде Дело в том  что мама меня постоянно унижаетговорит что я дебил придурок  ,1
10,Привет,1
11,Здравствуйте,1
12,Здравствуйте мне  я до сих пор не замужем живу с матерью и братьямине могу устроится на работу Где работала постоянно опаздовала ,1
13,Здравствуйте даже не знаю с чего начать ситуация очень запутанная Пожалуй начну с итогов с того какая сейчас ситуация,1
14,   Не понимаю зачем живу Просто не могу найти себе применение ,1
15,Выхода не вижу,1
16,Всем здравствуйтеМне пока еще  летвыконечно скажете маленькаяглупаяно мне правданужна поддержка,1
17,Я на грани суицида Изза жесточайшей травли в детстве я стала параноиком который панически боится людей ,1
18,Порой трудно быть просто другом особенно когда осознаешь что влюблен,1
19,Я достаточно хороший человек чтобы простить тебя но не настолько глуп чтобы снова тебе доверять,1
20,Я устала от людейя ничего не хочу,1
21,ЗдравствуйтеЗовут меня никита,1
22,Хочу быстропо мере возможности безболезненно умеретьТакчтобы родственники не хоронилиНе хочу обременять,1
23,она может показаться сильной но она девушка которая засыпает и плачет,1
24,  Работа есть учеба есть девушка есть и так далее Я осознаю что в будущем не будет изменений Мне надоело ссориться с близкими Я хочу умереть,1
25,Ненавижу такую погода Всё лень спать хочется ужасное настроение плохое самочувствие в одном комплекте,1
26,привет,1
27,Уважаемый  я не получаю никаких упоминаний Пожалуйста исправьте проблему Спасибо,1
28,  Сейчас наступил момент отчаяния Я не ожидал что она захочет разрывать общение,1
29,  Доброго времени суток,1
30,  В голове сидит одна мысль что выхода нет Тогда люди поймут как я им была нужна и какая я была неплохая Заглушаю эти мысли алкоголем,1
31,Как все надоело это блаблаблабалабабабалал,1
32,  Я чувствую будто я лишь запасной вариант Снова ссоры с родителями загоны и самокопания Постоянно думаю о суициде не могу больше терпеть,1
33, У меня нет смысла жить я ничего не могу или просто не хочу,1
34,Тяжёлая у меня жизнь,1
35,  У него  детей и жена на Родине Я хочу умереть Не могу всю жизнь думать о том чего никогда не будет это страшно,1
36,Здравствуйте представляю насколько глупой Вам покажется моя история,1
37,Мне нравится быть одному слушать музыку в своем собственном мире вдали от всей ерунды в жизни,1
38,  Я очень плохо учусь все запущено с  класса Не вижу смысла жить дальше единственное что останавливает не умереть это мама,1
39,  Я сижу дома как домработница и раб И я не поступила на бюджет Я устала каждую ночь плакать в подушку и ненавидеть жизнь Хочу умереть,1
40,А после смерти ты снова попадёшь в Самару безысходность тлен депрессия  ,1
41,  Я потеряла себя как личность Я копирую эмоции других людей и вставляю в свою жизнь Не вижу смысла жить мне кажется мне тут не место,1
42,Меня зовут Настя Мне недавно исполнилось  летИ на свой день рождения я пыталась покончить с ,1
43,Похоже я просто неинтересна никому Моя личность для других скучная ,1
44,В числе самых порочных слабостей у человекаэто сомнениекоторое словно аркан в чей то сухойтяжелойкогтистой руке,1
45,Привет Мне  лет Меня зовут Влад Я хочу покончить жизнь самоубийством Я расскажу почему,1
46,А  у меня нет близких нет никогоЯ ненужный человек,1
47,Меня притащили в суши бар У меня плохое настроение и нет аппетита Почему я здесь,1
48,Вот прямо сейчас сижу и буквально захлёбываюсь слезами,1
49,Я Ксюша мне  лет,1
50,Ключ к похудению будьте терпеливы mc,1
51,Доброй ночи всем пожалуйста будьте добры друг к другу Оставайтесь в безопасности и оставайтесь сильными Люблю тебя всех  lt ,1
52,Доверяй себе Подумай сам Действуй для себя Говори за себя Будь собой,1
53,Здравствуйте Я уже на протяжении года читаю этот сайт не как не мог решиться написать свою историю но сейчас я на грани ,1
54,я просто хочу умереть ,1
55,Меня зовут Аиша Мне  Двое детей Муж Вышла замуж не по любви И вот  лет живу с нелюбимым ,1
56,Я ненавижу чувство расстраивать коголибо Я чувствую себя как дерьмо,1
57,Приветствую,1
58,Болеет отец онко За ним ухаживает из последнх сил мать,1
59,Я уродка я толстая не красивая и еще у меня очень большой нос меня не кто не Любит я не хочу жить ,1
60,что мы имеем на данный момент,1
61,Даже и не знаю с чего начать,1
62,Ну наверное начнем с главного Я не хочу жить по довольно банальной причине  мне не нравится жить Совсем,1
63,Ибо у меня болит спина голова так же сильная раздражительность нервозность,1
64,  Кроме как покончить собой я не вижу выхода да и понимаю что это тоже не выход,1
65,как то все сразу стало очень плохо Завяз в долгахразбил машину жена ушла Лишили прав Устал,1
66,После покаяния   впал  в  депрессию искал  помощи  в  Церкви  но  не  нашел  и  лет  нет  нормальной   жизни  Нет  смысла  жить ,1
67,Сегодня у меня день рождения и на душе на редкость хреново Впрочем как и всегда ,1
68,Вы знаете как хочется жить ,1
69,Я думаю что некоторым людям просто не суждено найти любовь га,1
70,Хочу умереть Всегда думаю любви а ее нет Скучногто все Нет цели нет смысла жить У всех своя жизнь а у меня ее нету Пол мужской ,1
71,Помни твои проблемы никому не интересныДепрессия soulpain,1
72,мне  годамуж унижает поддержки нетсовсем однасамое простое уйти из жизни не могу  тернеть,1
73,Я хочу поделиться своей проблемой ,1
74,Никогда не воспринимайте чьилибо чувства как шутку Вы никогда не знаете как это больно,1
75,Я устала от жизни устала жить так ,1
76,  Я никчемное существо не реализовавшееся в этой жизни,1
77,Меня зовут Виктория мне в данный момент  лет В последнее время я совсем не узнаю себя Начну по порядку ,1
78,Мне надоело жить ,1
79,Меня зовут Иван и мне  лет  ,1
80,  Мне кажется если меня не станет то родителям будет легче всем будет легче,1
81,  Я хочу уйти в никуда в моей жизни никогда не было хорошего У детей тяжёлое заболевание муж предложил пожить отдельно,1
82,Доброго времени суток ,1
83,Отпустить не потому что ты хочешь а потому что ты должен,1
84, Здравствуйте  Меня зовут Марина  мне  лет ,1
85,потерял себяищешь ответего как тебядавно уже нет                     Ntsaddepressionpoems,1
86,  Суицидальные мысли отдаются в голове гулким эхом Кто я сейчас Без образования без работы,1
87,Как ни странно мне нужна помощь Моего близкого друга выгнали из его дома Как я могу помочь ему га,1
88,Жизнь как океан Это может быть спокойно и тихо или грубо и жестко но в конце концов это всегда красиво,1
89,она плачет чтобы спать каждую ночь просыпается на следующий день одевается и красуется в улыбку и пытается скрыть свою невыносимую боль,1
90,Здравствуйте Мне  лет уже почти  Похожая проблема вряд ли у когото встретится но все таки,1
91,я всегда была жизнерадостный человекомИ  сейчас  наверняка никто из моего окружения и ,1
92,Ты улыбаешься но хочешь плакать Ты говоришь но хочешь быть спокойным Вы притворяетесь будто вы счастливы но это не так,1
93,  В прошлом году очень часто посещали мысли о суициде Я определённо не вижу никакого смысла жить дальше,1
94,Я просто не хочу жить  года назад тяжело закончились мои первые отношения последствия от них в виде комплексов не восприятии себя как женщины и ,1
95,Отца нет Мать считает что во всём виновата я избивает Говорит что у меня нет будущего,1
96,мне очень плохо меня год назад парень бросил я думаю постоянно о смерти,1
97,ЗдравствуйтеВсе началось с того что я рано или поздно возвращаюсь сюда Этот сайт нужен,1
98,Привет Я хочу рассказать свою историю ,1
99,а также — неадекватное восприятие реальности раздражительность нервозность повышенная возбудимость,1
100,Я не вижу смысла жизни в этом миреОтчим чуть не износиловалмаме по баробануМаме все равно на ,1
101,Что делать если к  годам так и нашел девушку ,1
102,Я вхожу в такое настроение когда просто все обдумываю,1
103,У меня есть одна страная зависимость и я ничего не могу с собой поделать за два года я стала другой,1
104,Через полгода мне будет  лет Расскажу о своей личной жизни которая меня с каждым годом всё больше ,1
105,Мне  лет ,1
106,грусть тоска грусть печаль одиночество и боль мои лучшие друзья,1
107,Было все хорошо Даже лучше чем просто хорошо,1
108,Мне лет,1
109,Улыбка может означать тысячу слов но она также может скрывать тысячи проблем,1
110,Привет всем мне  лет я одинок и жизнь не удалась  лет прожил и не чего вспомнить я считаю себя ,1
111,  Я хочу умереть Вчера я завалила тест Меня никто не поддерживает а всегда обвиняют Я чувствую себя в яме из которой не могу выбраться,1
112,Мне  года и этот сайт я нашел по ссылкам вводя в поиск как уйти из жизни достойно,1
113,Исследования показывают что  куркумин может быть полезен против  депрессии ,1
114,Так получилось что мои родители разведены У отца ещё до этого была вторая семья так что я можно сказать Эту затею даже одобрила ,1
115,Негативные мысли уничтожат тебя Всегда делайте все возможное чтобы сохранить позитивный настрой,1
116,но тоска жрет изнутри боль отчаяние я ищу я не знаю чего я здесь ищу или кого может быть с кем то по дружиться здесь и общаться Мне  лет,1
117,  Мне  года и я не хочу больше жить И этому нет причин,1
118,Всем приветКак и у вас всех у меня есть желание покончить с собой,1
119,  Пришлось брать кредиты Теперь жена говорит что я во всем виноват Ещё и тесть с тещей подливают масло в огонь Пытался покончить с собой,1
120,  Все это полетело мне на плечи И как же я сейчас плохо себя чувствую Суицидальные мысли есть,1
121,RT Любую депрессию надо встречать с улыбкой Депрессия подумает что вы идиот и сбежит Роберт Де Ниро Депрессия,1
122,Боль делает тебя сильнее слезы делают тебя смелее а душераздирающие  мудрее поэтому благодари прошлое за лучшее и сильное будущее,1
123,Вообщем мне  ,1
124,Люди прошу у вас помощи мне кажется что я скоро могу стать психом Посоветуйте что мне делать ,1
125,Я не хочу больше жить я просто устала от себя и от всего этого мира От того что я порчу отношения со всеми близкими и любимыми людьми,1
126,я женат второй раз у нас двое замечательных детей сыну  лет дочке  Люблю их безумноно я сам погубил свое счастье и свою ,1
127,я чувствую себя никомуне нужным дерьмищем настроение хуже некуда депрессия,1
128,  Я поняла что все это полнейший развод на деньги Но было уже поздно Ребёнок маленький на руках Хочу покончить с собой,1
129,я простите пишу о помощинет силпросто уже нетсилнет сил житьдышать вставать с колен ,1
130,Я устал от лжи устал от использования устал от поддельных людей устал от приятных людей устал от осуждающих людей Просто так устал,1
131,настроение плохоесолнце ужасноемне не разрешают даже чай заварить,1
132,А недавно узналачто беременна,1
133,  Я каждый деньна протяжении двух месяцев задумываюськак мне покончить жизнь самоубийствомчто бы не тянуть за собой свою семью,1
134,  Я хочу умереть Я просто уже ненавижу себя за все что я делаю и кем я являюсь,1
135,В чем смысл жизни тебя предаютделают больно самые близкиев чем смысл в чем зачем нужна такая жизнь,1
136,Потерял смысл жизни случился нервный срыв не знаю что делать дальше  ,1
137,Единственый кто знает правду  это тыDepressionSadPainдепрессиябольнетакойкаквсеNt ,1
138,у меня совокупность тупых причин,1
139,Здравствуйте Меня зовут Алексей мне  лет Я живу в небольшом городке со своими ,1
140,Я ненавижу эту жизнь,1
141,Я действительно ненавижу все в себе и мне надоело постоянно пытаться собрать все сломанные части себя и вернуть их обратно rc,1
142,Умирает мать останется один за  километов отец и ему тоже нужен уход жена бросила а сам держусь только за работу Как найти силы пережить,1
143,Особо писать и нечего,1
144,Надоелобольше не вижу смысла и это никак не исправить,1
145,Я слишком добраяменя все унижают,1
146,Здравствуйте Уважаемые и добрые люди Пишу Вам в третий и наверное в последний раз Если Вы мне не помоюете то не поможет никто,1
